term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],nobs,aic,bic,llf,converged,sigma2_resid,var_re_intercept
Intercept,72.69839683619651,1.543937283347629,47.0863665385221,0.0,69.67233536644655,75.72445830594647,,,,,,,
C(day_period)[T.dawn],2.4525949040436683,0.6033713693934994,4.06481816747285,4.8069923236694685e-05,1.2700087507297964,3.6351810573575403,,,,,,,
C(day_period)[T.morning],12.318557713843314,0.5869874431336026,20.986066836594187,8.79277668662927e-98,11.1680834659242,13.469031961762427,,,,,,,
C(day_period)[T.night],0.29895113811245266,0.6055331653140529,0.4936990329132593,0.6215187483243538,-0.8878720573476296,1.485774333572535,,,,,,,
"Q(""alimentacao"")",-10.54820302521508,1.0238734756551797,-10.302252452106208,6.883044286858813e-25,-12.55495816222508,-8.54144788820508,,,,,,,
"Q(""aula_estudo"")",-6.696714636656126,0.5824860461603572,-11.49678122042521,1.3692696238127976e-30,-7.8383663086275615,-5.555062964684691,,,,,,,
"Q(""banheiro"")",27.621352159740304,7.508433416523086,3.6787104083465207,0.00023441625524169503,12.905093083038025,42.337611236442584,,,,,,,
"Q(""cafeina"")",-1.384618512200517,1.057003438645959,-1.3099470272057383,0.1902137565654003,-3.4563071834815897,0.6870701590805555,,,,,,,
"Q(""caminhada"")",-34.6267728006748,1.9170969388459356,-18.06208757576944,6.337975592620133e-73,-38.38421375568482,-30.86933184566478,,,,,,,
"Q(""casa"")",-20.003948945323447,1.3387328554259275,-14.94245014174919,1.744415149042776e-50,-22.627817126878732,-17.380080763768163,,,,,,,
"Q(""conversa"")",-3.8810736205924283,0.8233544573926384,-4.7137336608133955,2.432185293935893e-06,-5.494818703592518,-2.2673285375923387,,,,,,,
"Q(""corda"")",-23.699784848088935,11.372653965125469,-2.0839273682963473,0.037166774450585735,-45.98977702837149,-1.409792667806375,,,,,,,
"Q(""digitacao"")",-16.09791033597775,1.6355922262307256,-9.842251679733094,7.40349992950481e-23,-19.30361219278366,-12.89220847917184,,,,,,,
"Q(""exercicio_leve"")",-51.03807042257604,9.284189103643971,-5.497310519293925,3.856273122036562e-08,-69.23474669137744,-32.84139415377465,,,,,,,
"Q(""jogos"")",-4.467517563272042,0.8754461605601475,-5.1031322821880165,3.3407730807521463e-07,-6.1833605083738,-2.751674618170284,,,,,,,
"Q(""leitura"")",-14.314423098116533,1.9539769924526054,-7.3257889695769975,2.374972726440049e-13,-18.144147629943532,-10.484698566289534,,,,,,,
"Q(""music"")",-8.667219760912673,1.0402700889909064,-8.331701403930722,7.968872847000641e-17,-10.706111669529125,-6.628327852296219,,,,,,,
"Q(""onibus"")",-28.6143368840953,2.714969919841772,-10.53946737124916,5.681978397245629e-26,-33.93558014609477,-23.29309362209583,,,,,,,
"Q(""projeto"")",-17.283489212624563,1.5434501520729758,-11.197957504109523,4.172423499976679e-29,-20.308595922620466,-14.25838250262866,,,,,,,
"Q(""prova"")",-13.297068881374003,1.7412430007158135,-7.63653830964872,2.2313988319437807e-14,-16.70984245110945,-9.884295311638557,,,,,,,
"Q(""teclado"")",-15.945240992195293,1.9531898945092867,-8.163692141260707,3.249364238742698e-16,-19.773422840401082,-12.117059143989504,,,,,,,
"Q(""trem_metro"")",-26.740411625987964,1.3203931172946257,-20.251856265940567,3.4210277773916005e-91,-29.32833458132,-24.152488670655927,,,,,,,
"Q(""yoga"")",9.907686239702105,3.6589749922371277,2.7077764293886206,0.006773563536337784,2.736227034584611,17.0791454448196,,,,,,,
Group Var,0.11203151032692266,0.026066650692873252,4.2978866616551015,1.724342893971747e-05,0.06094181377130504,0.16312120688254028,,,,,,,
MODEL_INFO,--,--,--,--,--,--,24628.0,,,-116857.24886838553,True,771.6612366035794,86.45037379743981
