label,aparicoes_total,aparicoes_isoladas,afternoon,dawn,morning,night
dormir,12528,12528,736,6139,4100,1553
aula_estudo,4536,3942,2196,680,1135,525
conversa,1788,1305,853,0,274,661
jogos,1637,1590,559,186,76,816
music,1107,296,383,112,242,370
alimentacao,826,538,269,103,222,232
cafeina,758,541,285,143,283,47
casa,602,391,85,340,88,89
trem_metro,519,314,105,0,202,212
prova,455,455,455,0,0,0
projeto,376,234,142,24,89,121
digitacao,309,164,135,53,78,43
caminhada,236,102,63,17,40,116
leitura,234,223,79,37,12,106
teclado,217,217,72,0,22,123
onibus,112,60,33,0,65,14
yoga,59,59,30,15,14,0
banheiro,14,14,0,14,0,0
exercicio_leve,9,7,5,0,4,0
corda,6,6,6,0,0,0
